Simulation Time (s),X_eci,Y_eci,Z_eci,Vx ECI Velocity (m/s),Vy ECI Velocity (m/s),Vz ECI Velocity (m/s)
0,1431292.561,6143537.339,939697.2814,649.3009473,144.0192702,-26.24643614
0,1431292.561,6143537.339,939697.2814,649.3009473,144.0192702,-26.24643614
0.1,1431357.058,6143551.488,939694.6473,645.6037272,142.3077274,-26.25059448
0.2,1431421.189,6143565.468,939692.0127,641.9497463,140.6104814,-26.25568975
0.3,1431484.961,6143579.279,939689.3775,638.3382416,138.9272748,-26.26170633
0.4,1431548.375,6143592.925,939686.7417,634.7684784,137.2578583,-26.26862937
0.5,1431611.437,6143606.405,939684.1051,631.239729,135.6019862,-26.27644398
0.6,1431674.151,6143619.721,939681.4677,627.7512821,133.9594186,-26.2851356
0.7,1431736.52,6143632.875,939678.8294,624.3024432,132.3299207,-26.29469001
0.8,1431798.549,6143645.867,939676.19,620.8925335,130.7132634,-26.30509334
0.9,1431860.241,6143658.7,939673.5495,617.5208898,129.1092227,-26.31633202
1,1431921.601,6143671.373,939670.9079,614.1868635,127.5175796,-26.32839279
1.1,1431982.63,6143683.889,939668.265,610.889812,125.9381181,-26.34126232
1.2,1432043.335,6143696.249,939665.6208,607.6291158,124.3706289,-26.35492796
1.3,1432103.717,6143708.453,939662.9751,604.4041606,122.8149057,-26.36937696
1.4,1432163.781,6143720.504,939660.328,601.2143458,121.2707466,-26.38459685
1.5,1432223.529,6143732.401,939657.6793,598.0590929,119.7379561,-26.40057586
1.6,1432282.966,6143744.146,939655.0289,594.9378275,118.2163412,-26.41730205
1.7,1432342.095,6143755.741,939652.3768,591.8499879,116.705713,-26.43476379
1.8,1432400.918,6143767.186,939649.7229,588.7950246,115.2058869,-26.45294968
1.9,1432459.44,6143778.483,939647.0672,585.7724003,113.7166823,-26.4718486
2,1432517.663,6143789.632,939644.4095,582.7815811,112.2379209,-26.49144927
2.1,1432575.59,6143800.635,939641.7498,579.822061,110.7694314,-26.51174141
2.2,1432633.225,6143811.492,939639.088,576.8933207,109.3110415,-26.53271388
2.3,1432690.571,6143822.204,939636.4241,573.9948762,107.8625874,-26.55435685
2.4,1432747.63,6143832.773,939633.758,571.1262299,106.4239039,-26.57665964
2.5,1432804.405,6143843.199,939631.0896,568.2869109,104.9948327,-26.59961249
2.6,1432860.9,6143853.484,939628.4189,565.4764578,103.5752186,-26.62320587
2.7,1432917.117,6143863.628,939625.7458,562.6944041,102.1649069,-26.64742974
2.8,1432973.059,6143873.632,939623.0702,559.940308,100.763749,-26.67227497
2.9,1433028.729,6143883.497,939620.392,557.2137223,99.37159656,-26.69773194
3,1433084.129,6143893.224,939617.7113,554.5142237,97.98830719,-26.7237919
3.1,1433139.262,6143902.814,939615.028,551.8413904,96.61374001,-26.75044596
3.2,1433194.131,6143912.267,939612.3419,549.1948024,95.24775585,-26.77768506
3.3,1433248.738,6143921.586,939609.6531,546.5740553,93.89021968,-26.80550068
3.4,1433303.086,6143930.769,939606.9615,543.9787531,92.54099922,-26.83388446
3.5,1433357.178,6143939.819,939604.2669,541.408501,91.19996374,-26.86282788
3.6,1433411.015,6143948.735,939601.5695,538.8629191,89.86698633,-26.89232293
3.7,1433464.6,6143957.52,939598.8691,536.3416284,88.54194153,-26.92236143
3.8,1433517.936,6143966.173,939596.1656,533.8442645,87.22470756,-26.9529357
3.9,1433571.026,6143974.695,939593.459,531.3704634,85.91516397,-26.98403787
4,1433623.87,6143983.087,939590.7493,528.9198687,84.61319278,-27.01566023
4.1,1433676.472,6143991.35,939588.0364,526.4913172,83.31854913,-27.04775352
4.2,1433728.833,6143999.485,939585.3203,524.0841837,82.0310781,-27.08029524
4.3,1433780.956,6144007.492,939582.6008,521.6981726,80.7506787,-27.11327957
4.4,1433832.843,6144015.371,939579.8781,519.3330061,79.47725367,-27.14670141
4.5,1433884.496,6144023.125,939577.152,516.9883989,78.21070554,-27.18055511
4.6,1433935.917,6144030.752,939574.4224,514.6640768,76.95093952,-27.21483546
