time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.00,1439665.141000,6144028.090000,939123.406000,291.023675,-63.720685,-33.866368,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.115038,0.000000,0.000000,11.000000,1,0,0,0,0,0,0,0,0,1,0,0,0
0.01,1439668.051000,6144027.452000,939123.067300,290.951652,-63.793880,-33.873316,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.114984,0.000000,0.000000,10.999991,1,0,0,0,0,0,0,0,0,2,0,0,0
0.02,1439670.959000,6144026.813000,939122.728500,290.882167,-63.857488,-33.878812,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.114820,0.000000,0.000000,10.999965,1,0,0,0,0,0,0,0,0,3,0,0,0
0.03,1439673.867000,6144026.174000,939122.389700,290.815177,-63.911501,-33.882851,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.114548,0.000000,0.000000,10.999922,1,0,0,0,0,0,0,0,0,4,0,0,0
0.04,1439676.775000,6144025.535000,939122.050800,290.750643,-63.955913,-33.885428,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.114166,0.000000,0.000000,10.999861,1,0,0,0,0,0,0,0,0,5,0,0,0
0.05,1439679.682000,6144024.895000,939121.711900,290.688523,-63.990718,-33.886540,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.113676,0.000000,0.000000,10.999783,1,0,0,0,0,0,0,0,0,6,0,0,0
0.06,1439682.588000,6144024.255000,939121.373100,290.628780,-64.015909,-33.886183,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.113076,0.000000,0.000000,10.999688,1,0,0,0,0,0,0,0,0,7,0,0,0
0.07,1439685.494000,6144023.614000,939121.034200,290.571374,-64.031481,-33.884351,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.112368,0.000000,0.000000,10.999575,1,0,0,0,0,0,0,0,0,8,0,0,0
0.08,1439688.399000,6144022.974000,939120.695400,290.515889,-64.039099,-33.881300,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.111550,0.000000,0.000000,10.999445,1,0,0,0,0,0,0,0,0,9,0,0,0
0.09,1439691.304000,6144022.334000,939120.356600,290.460463,-64.046801,-33.878269,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.110624,0.000000,0.000000,10.999297,1,0,0,0,0,0,0,0,0,10,0,0,0
0.10,1439694.208000,6144021.693000,939120.017900,290.405097,-64.054586,-33.875256,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.109588,0.000000,0.000000,10.999133,1,0,0,0,0,0,0,0,0,11,0,0,0
0.11,1439697.111000,6144021.052000,939119.679200,290.349792,-64.062454,-33.872263,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.108444,0.000000,0.000000,10.998950,1,0,0,0,0,0,0,0,0,12,0,0,0
0.12,1439700.014000,6144020.412000,939119.340500,290.294547,-64.070405,-33.869288,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.107190,0.000000,0.000000,10.998751,1,0,0,0,0,0,0,0,0,13,0,0,0
0.13,1439702.917000,6144019.771000,939119.001800,290.239363,-64.078439,-33.866333,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.105828,0.000000,0.000000,10.998534,1,0,0,0,0,0,0,0,0,14,0,0,0
0.14,1439705.818000,6144019.130000,939118.663200,290.184240,-64.086557,-33.863396,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.104356,0.000000,0.000000,10.998300,1,0,0,0,0,0,0,0,0,15,0,0,0
0.15,1439708.720000,6144018.489000,939118.324600,290.129179,-64.094757,-33.860479,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.102776,0.000000,0.000000,10.998048,1,0,0,0,0,0,0,0,0,16,0,0,0
0.16,1439711.620000,6144017.848000,939117.986000,290.074179,-64.103040,-33.857581,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.101087,0.000000,0.000000,10.997780,1,0,0,0,0,0,0,0,0,17,0,0,0
0.17,1439714.521000,6144017.207000,939117.647400,290.019242,-64.111405,-33.854702,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.099288,0.000000,0.000000,10.997493,1,0,0,0,0,0,0,0,0,18,0,0,0
0.18,1439717.420000,6144016.566000,939117.308900,289.964366,-64.119853,-33.851842,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.097381,0.000000,0.000000,10.997190,1,0,0,0,0,0,0,0,0,19,0,0,0
0.19,1439720.319000,6144015.924000,939116.970400,289.909553,-64.128384,-33.849002,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.095365,0.000000,0.000000,10.996869,1,0,0,0,0,0,0,0,0,20,0,0,0
0.20,1439723.218000,6144015.283000,939116.632000,289.854803,-64.136997,-33.846180,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.093240,0.000000,0.000000,10.996531,1,0,0,0,0,0,0,0,0,21,0,0,0
0.21,1439726.116000,6144014.642000,939116.293500,289.800115,-64.145693,-33.843378,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.091006,0.000000,0.000000,10.996175,1,0,0,0,0,0,0,0,0,22,0,0,0
0.22,1439729.013000,6144014.000000,939115.955100,289.745491,-64.154470,-33.840594,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.088663,0.000000,0.000000,10.995802,1,0,0,0,0,0,0,0,0,23,0,0,0
0.23,1439731.910000,6144013.358000,939115.616700,289.690930,-64.163330,-33.837830,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,69.086211,0.000000,0.000000,10.995412,1,0,0,0,0,0,0,0,0,24,0,0,0
