time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0,1439665.141,6144028.09,939123.406,291.023675,-63.720685,-33.866368,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,0,0,0,69.115038,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0
0.01,1439668.051,6144027.452,939123.0673,290.951652,-63.79388,-33.873316,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-84.001023,-145.002226,0,69.114984,0,0,10.999991,1,0,0,0,0,0,0,0,0,2,0,0,0
0.02,1439670.959,6144026.813,939122.7285,290.882167,-63.857488,-33.878812,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.890784,-144.815352,0,69.11482,0,0,10.999965,1,0,0,0,0,0,0,0,0,3,0,0,0
0.03,1439673.867,6144026.174,939122.3897,290.815177,-63.911501,-33.882851,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.78079,-144.628889,0,69.114548,0,0,10.999922,1,0,0,0,0,0,0,0,0,4,0,0,0
0.04,1439676.775,6144025.535,939122.0508,290.750643,-63.955913,-33.885428,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.671046,-144.442836,0,69.114166,0,0,10.999861,1,0,0,0,0,0,0,0,0,5,0,0,0
0.05,1439679.682,6144024.895,939121.7119,290.688523,-63.990718,-33.88654,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.561548,-144.257186,0,69.113676,0,0,10.999783,1,0,0,0,0,0,0,0,0,6,0,0,0
0.06,1439682.588,6144024.255,939121.3731,290.62878,-64.015909,-33.886183,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.452296,-144.07194,0,69.113076,0,0,10.999688,1,0,0,0,0,0,0,0,0,7,0,0,0
0.07,1439685.494,6144023.614,939121.0342,290.571374,-64.031481,-33.884351,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.34329,-143.887098,0,69.112368,0,0,10.999575,1,0,0,0,0,0,0,0,0,8,0,0,0
0.08,1439688.399,6144022.974,939120.6954,290.515889,-64.039099,-33.8813,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.234527,-143.702659,0,69.11155,0,0,10.999445,1,0,0,0,0,0,0,0,0,9,0,0,0
0.09,1439691.304,6144022.334,939120.3566,290.460463,-64.046801,-33.878269,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.12601,-143.518623,0,69.110624,0,0,10.999297,1,0,0,0,0,0,0,0,0,10,0,0,0
0.1,1439694.208,6144021.693,939120.0179,290.405097,-64.054586,-33.875256,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-83.017736,-143.334985,0,69.109588,0,0,10.999133,1,0,0,0,0,0,0,0,0,11,0,0,0
0.11,1439697.111,6144021.052,939119.6792,290.349792,-64.062454,-33.872263,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.909704,-143.151747,0,69.108444,0,0,10.99895,1,0,0,0,0,0,0,0,0,12,0,0,0
0.12,1439700.014,6144020.412,939119.3405,290.294547,-64.070405,-33.869288,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.801915,-142.968906,0,69.10719,0,0,10.998751,1,0,0,0,0,0,0,0,0,13,0,0,0
0.13,1439702.917,6144019.771,939119.0018,290.239363,-64.078439,-33.866333,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.694366,-142.786461,0,69.105828,0,0,10.998534,1,0,0,0,0,0,0,0,0,14,0,0,0
0.14,1439705.818,6144019.13,939118.6632,290.18424,-64.086557,-33.863396,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.587056,-142.604411,0,69.104356,0,0,10.9983,1,0,0,0,0,0,0,0,0,15,0,0,0
0.15,1439708.72,6144018.489,939118.3246,290.129179,-64.094757,-33.860479,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.47999,-142.422757,0,69.102776,0,0,10.998048,1,0,0,0,0,0,0,0,0,16,0,0,0
0.16,1439711.62,6144017.848,939117.986,290.074179,-64.10304,-33.857581,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.373159,-142.241494,0,69.101087,0,0,10.99778,1,0,0,0,0,0,0,0,0,17,0,0,0
0.17,1439714.521,6144017.207,939117.6474,290.019242,-64.111405,-33.854702,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.266568,-142.060625,0,69.099288,0,0,10.997493,1,0,0,0,0,0,0,0,0,18,0,0,0
0.18,1439717.42,6144016.566,939117.3089,289.964366,-64.119853,-33.851842,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.160213,-141.880146,0,69.097381,0,0,10.99719,1,0,0,0,0,0,0,0,0,19,0,0,0
0.19,1439720.319,6144015.924,939116.9704,289.909553,-64.128384,-33.849002,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-82.054097,-141.700057,0,69.095365,0,0,10.996869,1,0,0,0,0,0,0,0,0,20,0,0,0
0.2,1439723.218,6144015.283,939116.632,289.854803,-64.136997,-33.84618,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.948218,-141.520356,0,69.09324,0,0,10.996531,1,0,0,0,0,0,0,0,0,21,0,0,0
0.21,1439726.116,6144014.642,939116.2935,289.800115,-64.145693,-33.843378,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.842572,-141.341041,0,69.091006,0,0,10.996175,1,0,0,0,0,0,0,0,0,22,0,0,0
0.22,1439729.013,6144014,939115.9551,289.745491,-64.15447,-33.840594,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.737165,-141.162111,0,69.088663,0,0,10.995802,1,0,0,0,0,0,0,0,0,23,0,0,0
0.23,1439731.91,6144013.358,939115.6167,289.69093,-64.16333,-33.83783,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.631988,-140.983571,0,69.086211,0,0,10.995412,1,0,0,0,0,0,0,0,0,24,0,0,0
0.24,1439734.807,6144012.717,939115.2784,289.636434,-64.172272,-33.835085,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.527047,-140.805411,0,69.08365,0,0,10.995004,1,0,0,0,0,0,0,0,0,25,0,0,0
0.25,1439737.702,6144012.075,939114.9401,289.582001,-64.181297,-33.83236,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.422339,-140.627636,0,69.080981,0,0,10.99458,1,0,0,0,0,0,0,0,0,26,0,0,0
0.26,1439740.598,6144011.433,939114.6018,289.527632,-64.190403,-33.829653,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.31786,-140.450241,0,69.078202,0,0,10.994137,1,0,0,0,0,0,0,0,0,27,0,0,0
0.27,1439743.492,6144010.791,939114.2635,289.473329,-64.19959,-33.826966,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-81.213615,-140.273226,0,69.075315,0,0,10.993678,1,0,0,0,0,0,0,0,0,28,0,0,0
