time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.00,1439665.141000,6144028.090000,939123.406000,291.023675,-63.720685,-33.866368,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.012754,146.396251,-12.541436,69.115038,0.000000,0.000000,11.000000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.01,1439668.051000,6144027.452000,939123.067300,290.951652,-63.793880,-33.873316,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.012502,120.793399,83.652373,69.114984,0.000000,0.000000,10.999991,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
0.02,1439670.959000,6144026.813000,939122.728500,290.882167,-63.857488,-33.878812,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.012250,39.750631,141.450583,69.114820,0.000000,0.000000,10.999965,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
0.03,1439673.867000,6144026.174000,939122.389700,290.815177,-63.911501,-33.882851,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.011999,-59.534762,134.326497,69.114548,0.000000,0.000000,10.999922,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
0.04,1439676.775000,6144025.535000,939122.050800,290.750643,-63.955913,-33.885428,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.011748,-131.493752,65.551543,69.114166,0.000000,0.000000,10.999861,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
0.05,1439679.682000,6144024.895000,939121.711900,290.688523,-63.990718,-33.886540,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.011498,-143.100826,-33.307372,69.113676,0.000000,0.000000,10.999783,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
0.06,1439682.588000,6144024.255000,939121.373100,290.628780,-64.015909,-33.886183,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.011247,-89.030985,-116.877404,69.113076,0.000000,0.000000,10.999688,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0
0.07,1439685.494000,6144023.614000,939121.034200,290.571374,-64.031481,-33.884351,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.010997,5.897951,-146.804886,69.112368,0.000000,0.000000,10.999575,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0
0.08,1439688.399000,6144022.974000,939120.695400,290.515889,-64.039099,-33.881300,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.010748,98.117595,-109.357280,69.111550,0.000000,0.000000,10.999445,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0
0.09,1439691.304000,6144022.334000,939120.356600,290.460463,-64.046801,-33.878269,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,381.010499,145.305810,-21.723623,69.110624,0.000000,0.000000,10.999297,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
