time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
0,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.115038,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0
0.01,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.114984,0,0,10.999991,1,0,0,0,0,0,0,0,2,0,0,0
0.02,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.11482,0,0,10.999965,1,0,0,0,0,0,0,0,3,0,0,0
0.03,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.114548,0,0,10.999922,1,0,0,0,0,0,0,0,4,0,0,0
0.04,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.114166,0,0,10.999861,1,0,0,0,0,0,0,0,5,0,0,0
0.05,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.113676,0,0,10.999783,1,0,0,0,0,0,0,0,6,0,0,0
0.06,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.113076,0,0,10.999688,1,0,0,0,0,0,0,0,7,0,0,0
0.07,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.112368,0,0,10.999575,1,0,0,0,0,0,0,0,8,0,0,0
0.08,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.11155,0,0,10.999445,1,0,0,0,0,0,0,0,9,0,0,0
0.09,-1179339.774,-6196842.671,939686.9021,-493.11755,-129.813374,745.943494,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.110624,0,0,10.999297,1,0,0,0,0,0,0,0,10,0,0,0
0.1,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.109588,0,0,10.999133,1,0,0,0,0,0,0,0,11,0,0,0
0.11,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.108444,0,0,10.99895,1,0,0,0,0,0,0,0,12,0,0,0
0.12,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.10719,0,0,10.998751,1,0,0,0,0,0,0,0,13,0,0,0
0.13,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.105828,0,0,10.998534,1,0,0,0,0,0,0,0,14,0,0,0
0.14,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.104356,0,0,10.9983,1,0,0,0,0,0,0,0,15,0,0,0
0.15,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.102776,0,0,10.998048,1,0,0,0,0,0,0,0,16,0,0,0
0.16,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.101087,0,0,10.99778,1,0,0,0,0,0,0,0,17,0,0,0
0.17,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.099288,0,0,10.997493,1,0,0,0,0,0,0,0,18,0,0,0
0.18,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.097381,0,0,10.99719,1,0,0,0,0,0,0,0,19,0,0,0
0.19,-1179343.877,-6196864.141,939761.2686,-492.695403,-127.591787,741.396983,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.095365,0,0,10.996869,1,0,0,0,0,0,0,0,20,0,0,0
0.2,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.09324,0,0,10.996531,1,0,0,0,0,0,0,0,21,0,0,0
0.21,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.091006,0,0,10.996175,1,0,0,0,0,0,0,0,22,0,0,0
0.22,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.088663,0,0,10.995802,1,0,0,0,0,0,0,0,23,0,0,0
0.23,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.086211,0,0,10.995412,1,0,0,0,0,0,0,0,24,0,0,0
0.24,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.08365,0,0,10.995004,1,0,0,0,0,0,0,0,25,0,0,0
0.25,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.080981,0,0,10.99458,1,0,0,0,0,0,0,0,26,0,0,0
0.26,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.078202,0,0,10.994137,1,0,0,0,0,0,0,0,27,0,0,0
0.27,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.075315,0,0,10.993678,1,0,0,0,0,0,0,0,28,0,0,0
0.28,-1179347.937,-6196885.39,939835.1836,-492.277601,-125.393049,736.911282,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,69.072319,0,0,10.993201,1,0,0,0,0,0,0,0,29,0,0,0
