missiontime,ecef_Pos_X,ecef_Pos_Y,ecef_Pos_Z,ecef_Vel_X,ecef_Vel_Y,ecef_Vel_Z,gps_week,gps_tow,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r, Roll, Pitch, Yaw, rollRPS,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,0,0,0,69.115038,0,0,0,0.436332,0,11,381.012754,146.396251,-12.541436,0,0,0,0.69115,0,0
0.01,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.479911,-35.748416,0.000001,69.114984,0,0,0,0.436332,0,10.999991,381.012532,120.793549,83.65248,-0.184799,-0.357484,0,0.69115,0,0
0.02,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.463867,-35.713963,0.000001,69.11482,0,0,0,0.436332,0,10.999965,381.012311,39.750725,141.450938,-0.184639,-0.35714,0,0.691148,0,0
0.03,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.447847,-35.679559,0.000001,69.114548,0,0,0,0.436332,0,10.999922,381.012091,-59.534993,134.326997,-0.184478,-0.356796,0,0.691145,0,0
0.04,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.431851,-35.645204,0.000001,69.114166,0,0,0,0.436332,0,10.999861,381.011871,-131.494414,65.55186,-0.184319,-0.356452,0,0.691142,0,0
0.05,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.415877,-35.610898,0.000001,69.113676,0,0,0,0.436332,0,10.999783,381.011651,-143.101717,-33.307593,-0.184159,-0.356109,0,0.691137,0,0
0.06,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.399927,-35.57664,0.000001,69.113076,0,0,0,0.436332,0,10.999688,381.011431,-89.031638,-116.878289,-0.183999,-0.355766,0,0.691131,0,0
0.07,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.384001,-35.54243,0.000001,69.112368,0,0,0,0.436332,0,10.999575,381.011211,5.898022,-146.806167,-0.18384,-0.355424,0,0.691124,0,0
0.08,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.368097,-35.508269,0.000001,69.11155,0,0,0,0.436332,0,10.999445,381.010992,98.118591,-109.358356,-0.183681,-0.355083,0,0.691116,0,0
0.09,-1187924.386,-6195202.745,939686.9021,-487.317513,-98.07021,638.558312,2384,388837,-18.352217,-35.474156,0.000001,69.110624,0,0,0,0.436332,0,10.999297,381.010773,145.307443,-21.723842,-0.183522,-0.354742,0,0.691106,0,0
0.1,-1187927.923,-6195221.118,939750.5827,-486.950157,-96.151011,635.059198,2384,388837,-18.336359,-35.440092,0.000001,69.109588,0,0,0,0.436332,0,10.999133,381.010555,125.811009,75.877791,-0.183364,-0.354401,0,0.691096,0,0
0.11,-1187927.923,-6195221.118,939750.5827,-486.950157,-96.151011,635.059198,2384,388837,-18.320525,-35.406076,0.000001,69.108444,0,0,0,0.436332,0,10.99895,381.010337,48.579932,138.656087,-0.183205,-0.354061,0,0.691084,0,0
0.12,-1187927.923,-6195221.118,939750.5827,-486.950157,-96.151011,635.059198,2384,388837,-18.304714,-35.372108,0.000001,69.10719,0,0,0,0.436332,0,10.998751,381.010119,-50.941739,137.804683,-0.183047,-0.353721,0,0.691072,0,0
0.13,-1187927.923,-6195221.118,939750.5827,-486.950157,-96.151011,635.059198,2384,388837,-18.288926,-35.338188,0.000001,69.105828,0,0,0,0.436332,0,10.998534,381.009901,-127.084532,73.718279,-0.182889,-0.353382,0,0.691058,0,0
0.14,-1187927.923,-6195221.118,939750.5827,-486.950157,-96.151011,635.059198,2384,388837,-18.273161,-35.304316,0.000001,69.104356,0,0,0,0.436332,0,10.9983,381.009684,-144.911244,-24.192267,-0.182732,-0.353043,0,0.691044,0,0
