missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0,1439665.141,6144028.09,939123.406,291.0236749,-63.72068517,-33.86636806,0,0,0,69.115038,0,0,381.012754,146.396251,-12.541436,0,0,0,0.69115,0,0
0.01,1439668.051,6144027.452,939123.0673,290.951652,-63.79388021,-33.87331623,-84.00102303,-145.0022258,0,69.114984,0,0,381.012502,120.793399,83.652373,-0.840009869,-1.450023012,0,0.69115,0,0
0.02,1439670.959,6144026.813,939122.7285,290.8821667,-63.85748787,-33.87881198,-83.89078352,-144.8153524,0,69.11482,0,0,381.01225,39.750631,141.450583,-0.838907507,-1.448152933,0,0.691148,0,0
0.03,1439673.867,6144026.174,939122.3897,290.8151773,-63.9115012,-33.88285081,-83.78079008,-144.6288891,0,69.114548,0,0,381.011999,-59.534762,134.326497,-0.837808426,-1.446289416,0,0.691145,0,0
0.04,1439676.775,6144025.535,939122.0508,290.7506429,-63.95591348,-33.88542835,-83.67104598,-144.442836,0,69.114166,0,0,381.011748,-131.493752,65.551543,-0.836709344,-1.44442918,0,0.691142,0,0
0.05,1439679.682,6144024.895,939121.7119,290.6885234,-63.99071826,-33.88654034,-83.56154795,-144.2571864,0,69.113676,0,0,381.011498,-143.100826,-33.307372,-0.835616825,-1.442572225,0,0.691137,0,0
0.06,1439682.588,6144024.255,939121.3731,290.62878,-64.01590934,-33.88618266,-83.45229598,-144.0719403,0,69.113076,0,0,381.011247,-89.030985,-116.877404,-0.834524305,-1.44071855,0,0.691131,0,0
0.07,1439685.494,6144023.614,939121.0342,290.5713744,-64.03148072,-33.88435127,-83.34329007,-143.8870978,0,69.112368,0,0,381.010997,5.897951,-146.804886,-0.833431785,-1.438871437,0,0.691124,0,0
0.08,1439688.399,6144022.974,939120.6954,290.5158889,-64.03909907,-33.88130048,-83.23452694,-143.7026588,0,69.11155,0,0,381.010748,98.117595,-109.35728,-0.832345827,-1.437027605,0,0.691116,0,0
0.09,1439691.304,6144022.334,939120.3566,290.4604631,-64.04680076,-33.87826876,-83.12600988,-143.5186234,0,69.110624,0,0,381.010499,145.30581,-21.723623,-0.831259869,-1.435187054,0,0.691106,0,0
0.1,1439694.208,6144021.693,939120.0179,290.4050973,-64.0545857,-33.87525611,-83.0177356,-143.3349849,0,69.109588,0,0,381.01025,125.809457,75.876822,-0.830177192,-1.433349783,0,0.691096,0,0
0.11,1439697.111,6144021.052,939119.6792,290.3497919,-64.06245383,-33.87226252,-82.9097041,-143.1517467,0,69.108444,0,0,381.010001,48.579296,138.654178,-0.829097796,-1.431519075,0,0.691084,0,0
0.12,1439700.014,6144020.412,939119.3405,290.294547,-64.07040507,-33.86928803,-82.80191538,-142.9689055,0,69.10719,0,0,381.009753,-50.940947,137.802637,-0.828018399,-1.429688366,0,0.691072,0,0
0.13,1439702.917,6144019.771,939119.0018,290.2393631,-64.07843936,-33.86633264,-82.69436616,-142.7864613,0,69.105828,0,0,381.009505,-127.082459,73.717118,-0.826942284,-1.427864219,0,0.691058,0,0
0.14,1439705.818,6144019.13,939118.6632,290.1842404,-64.08655659,-33.86339635,-82.58705645,-142.6044107,0,69.104356,0,0,381.009257,-144.908728,-24.191808,-0.825869449,-1.426043353,0,0.691044,0,0
0.15,1439708.72,6144018.489,939118.3246,290.1291791,-64.09475669,-33.86047917,-82.47998952,-142.4227572,0,69.102776,0,0,381.00901,-96.244681,-110.997131,-0.824799895,-1.424229048,0,0.691028,0,0
0.16,1439711.62,6144017.848,939117.986,290.0741794,-64.10303957,-33.85758111,-82.3731588,-142.2414941,0,69.101087,0,0,381.008763,-3.423572,-146.871711,-0.823730341,-1.422414744,0,0.691011,0,0
0.17,1439714.521,6144017.207,939117.6474,290.0192417,-64.11140515,-33.85470216,-82.26656759,-142.0606246,0,69.099288,0,0,381.008516,90.964729,-115.360555,-0.822664068,-1.420607001,0,0.690993,0,0
0.18,1439717.42,6144016.566,939117.3089,289.9643661,-64.11985333,-33.85184234,-82.1602126,-141.8801456,0,69.097381,0,0,381.00827,143.616972,-30.926106,-0.821601076,-1.418802539,0,0.690974,0,0
0.19,1439720.319,6144015.924,939116.9704,289.909553,-64.12838404,-33.84900164,-82.05409711,-141.700057,0,69.095365,0,0,381.008024,130.382637,67.692289,-0.820541365,-1.417001358,0,0.690954,0,0
0.2,1439723.218,6144015.283,939116.632,289.8548025,-64.13699718,-33.84618008,-81.94821785,-141.5203556,0,69.09324,0,0,381.007778,57.338987,135.254347,-0.819481654,-1.415203457,0,0.690932,0,0
0.21,1439726.116,6144014.642,939116.2935,289.800115,-64.14569266,-33.84337766,-81.84257152,-141.3410413,0,69.091006,0,0,381.007533,-42.002838,140.772439,-0.818425223,-1.413408838,0,0.69091,0,0
0.22,1439729.013,6144014,939115.9551,289.7454908,-64.15447043,-33.8405944,-81.73716469,-141.1621108,0,69.088663,0,0,381.007288,-122.074748,81.722053,-0.817372073,-1.41162078,0,0.690887,0,0
0.23,1439731.91,6144013.358,939115.6167,289.6909302,-64.1633304,-33.8378303,-81.63198752,-140.9835708,0,69.086211,0,0,381.007043,-146.154435,-14.806745,-0.816318924,-1.409836003,0,0.690862,0,0
0.24,1439734.807,6144012.717,939115.2784,289.6364335,-64.17227248,-33.83508536,-81.52704657,-140.8054113,0,69.08365,0,0,381.006799,-103.205004,-104.540454,-0.815269055,-1.408054507,0,0.690837,0,0
0.25,1439737.702,6144012.075,939114.9401,289.5820008,-64.18129658,-33.8323596,-81.42233856,-140.6276357,0,69.080981,0,0,381.006554,-12.930071,-146.329811,-0.814222467,-1.406276292,0,0.69081,0,0
0.26,1439740.598,6144011.433,939114.6018,289.5276324,-64.1904026,-33.82965302,-81.31786021,-140.4502407,0,69.078202,0,0,381.006311,83.269378,-121.018313,-0.81317916,-1.404501357,0,0.690782,0,0
0.27,1439743.492,6144010.791,939114.2635,289.4733286,-64.19959046,-33.82696561,-81.2136148,-140.2732263,0,69.075315,0,0,381.006067,141.284083,-40.220031,-0.812135853,-1.402732985,0,0.690753,0,0
0.28,1439746.387,6144010.149,939113.9253,289.4190897,-64.20886006,-33.82429739,-81.10960233,-140.0965924,0,69.072319,0,0,381.005824,134.520753,59.013825,-0.811095826,-1.400964612,0,0.690723,0,0
0.29,1439749.28,6144009.507,939113.587,289.3649158,-64.21821131,-33.82164836,-81.00581952,-139.9203358,0,69.069214,0,0,381.005581,66.088687,131.188308,-0.810059081,-1.399202801,0,0.690692,0,0
0.3,1439752.173,6144008.864,939113.2489,289.3108073,-64.22764413,-33.81901852,-80.90226309,-139.7444599,0,69.066,0,0,381.005339,-32.634428,143.222564,-0.809022336,-1.39744427,0,0.69066,0,0
0.31,1439755.066,6144008.222,939112.9107,289.2567643,-64.23715841,-33.81640787,-80.79893959,-139.5689546,0,69.062677,0,0,381.005097,-116.393794,89.609239,-0.807988871,-1.395689021,0,0.690627,0,0
0.32,1439757.958,6144007.58,939112.5726,289.2027873,-64.24675409,-33.81381644,-80.69584248,-139.3938299,0,69.059245,0,0,381.004855,-146.803431,-5.070154,-0.806958687,-1.393937052,0,0.690592,0,0
0.33,1439760.849,6144006.937,939112.2344,289.1488765,-64.25643107,-33.81124422,-80.59297174,-139.219076,0,69.055705,0,0,381.004613,-109.935577,-97.420458,-0.805928503,-1.392191646,0,0.690557,0,0
0.34,1439763.74,6144006.294,939111.8964,289.0950322,-64.26618927,-33.80869122,-80.49033066,-139.0446961,0,69.052056,0,0,381.004372,-22.694618,-145.124616,-0.804904881,-1.390446239,0,0.690521,0,0
0.35,1439766.631,6144005.652,939111.5583,289.0412545,-64.27602858,-33.80615744,-80.38791596,-138.8706869,0,69.048298,0,0,381.004131,74.93918,-126.332666,-0.803877978,-1.388707394,0,0.690483,0,0
0.36,1439769.521,6144005.009,939111.2203,288.9875438,-64.28594891,-33.80364288,-80.28572435,-138.6970484,0,69.044432,0,0,381.003891,138.234773,-49.664821,-0.802857637,-1.386971829,0,0.690444,0,0
0.37,1439772.41,6144004.366,939110.8822,288.9339003,-64.29595016,-33.80114756,-80.18375913,-138.5237807,0,69.040456,0,0,381.00365,138.203236,49.748732,-0.801837296,-1.385236265,0,0.690405,0,0
0.38,1439775.299,6144003.723,939110.5443,288.8803242,-64.30603223,-33.79867146,-80.082017,-138.3508804,0,69.036372,0,0,381.003411,74.870027,126.369197,-0.800820236,-1.383507262,0,0.690364,0,0
0.39,1439778.187,6144003.08,939110.2063,288.8268158,-64.31619504,-33.7962146,-79.98050125,-138.1783509,0,69.032179,0,0,381.003171,-22.748042,145.109771,-0.799806456,-1.381784821,0,0.690322,0,0
0.4,1439781.075,6144002.436,939109.8684,288.7733753,-64.32643848,-33.79377698,-79.87920859,-138.0061855,0,69.027878,0,0,381.002932,-109.942478,97.399154,-0.798792676,-1.38006238,0,0.690279,0,0
0.41,1439783.962,6144001.793,939109.5304,288.720003,-64.33676245,-33.79135859,-79.77813576,-137.8343843,0,69.023468,0,0,381.002693,-146.79103,5.095292,-0.797782178,-1.37834322,0,0.690235,0,0
0.42,1439786.849,6144001.15,939109.1926,288.6666992,-64.34716688,-33.78895946,-79.67728601,-137.6629506,0,69.018949,0,0,381.002454,-116.433334,-89.534755,-0.796771679,-1.376630621,0,0.690189,0,0
0.43,1439789.735,6144000.506,939108.8547,288.6134643,-64.35765168,-33.78657958,-79.57665937,-137.4918778,0,69.014322,0,0,381.002216,-32.779153,-143.172434,-0.795767742,-1.374918023,0,0.690143,0,0
0.44,1439792.62,6143999.862,939108.5168,288.5602983,-64.36821673,-33.78421896,-79.47624926,-137.3211691,0,69.009586,0,0,381.001978,65.871995,-131.275758,-0.794763805,-1.373211986,0,0.690096,0,0
0.45,1439795.506,6143999.218,939108.179,288.5072017,-64.37886195,-33.7818776,-79.37606225,-137.1508213,0,69.004741,0,0,381.00174,134.369925,-59.302559,-0.793759868,-1.37150923,0,0.690047,0,0
0.46,1439798.39,6143998.575,939107.8412,288.4541745,-64.38958723,-33.77955551,-79.27609506,-136.9808312,0,68.999788,0,0,381.001503,141.377446,39.800926,-0.792762493,-1.369809755,0,0.689998,0,0
0.47,1439801.274,6143997.931,939107.5035,288.4012172,-64.40039247,-33.77725268,-79.1763444,-136.8112019,0,68.994726,0,0,381.001265,83.701574,120.68707,-0.791761836,-1.368113561,0,0.689947,0,0
0.48,1439804.158,6143997.286,939107.1657,288.3483298,-64.41127757,-33.77496912,-79.07681355,-136.6419302,0,68.989556,0,0,381.001029,-12.259454,146.357967,-0.790767742,-1.366420647,0,0.689896,0,0
0.49,1439807.041,6143996.642,939106.828,288.2955127,-64.42224242,-33.77270482,-78.97749925,-136.4730195,0,68.984277,0,0,381.000792,-102.605463,105.084225,-0.789773647,-1.364731015,0,0.689843,0,0
0.5,1439809.923,6143995.998,939106.4903,288.2427661,-64.43328693,-33.7704598,-78.87840147,-136.3044597,0,68.97889,0,0,381.000556,-146.02033,15.756445,-0.788782834,-1.363044663,0,0.689789,0,0
0.51,1439812.805,6143995.353,939106.1526,288.1900903,-64.44441099,-33.76823404,-78.77952024,-136.1362576,0,68.973394,0,0,381.00032,-122.663167,-80.768663,-0.787795301,-1.361361592,0,0.689734,0,0
0.52,1439815.686,6143994.709,939105.8149,288.1374855,-64.45561452,-33.76602757,-78.68085554,-135.9684099,0,68.96779,0,0,381.000085,-43.228217,-140.359461,-0.786807768,-1.359685083,0,0.689678,0,0
0.53,1439818.567,6143994.064,939105.4773,288.0849521,-64.46689742,-33.76384038,-78.58240737,-135.8009164,0,68.962077,0,0,380.99985,55.960186,-135.784912,-0.785823516,-1.358008574,0,0.689621,0,0
0.54,1439821.447,6143993.419,939105.1397,288.0324903,-64.47825958,-33.76167249,-78.48417246,-135.6337707,0,68.956256,0,0,380.999615,129.563871,-69.151398,-0.784842545,-1.356338626,0,0.689563,0,0
0.55,1439824.327,6143992.775,939104.8021,287.9801003,-64.48970091,-33.75952388,-78.3861508,-135.4669794,0,68.950326,0,0,380.99938,143.954552,29.076238,-0.783861574,-1.354668679,0,0.689503,0,0
0.56,1439827.206,6143992.13,939104.4645,287.9277823,-64.50122128,-33.75739456,-78.28833912,-135.3005391,0,68.944288,0,0,380.999146,92.572134,114.01039,-0.782883883,-1.353005293,0,0.689443,0,0
0.57,1439830.085,6143991.484,939104.127,287.8755367,-64.51282061,-33.75528453,-78.19074397,-135.1344466,0,68.938142,0,0,380.998912,-1.094113,146.855032,-0.781906193,-1.351345188,0,0.689381,0,0
0.58,1439832.963,6143990.839,939103.7894,287.8233636,-64.52449877,-33.7531938,-78.09336208,-134.9687018,0,68.931888,0,0,380.998678,-94.252041,112.622285,-0.780935064,-1.349688363,0,0.689319,0,0
0.59,1439835.841,6143990.194,939103.4519,287.7712633,-64.53625567,-33.75112235,-77.99619016,-134.8033016,0,68.925525,0,0,380.998445,-144.360205,26.962686,-0.779960655,-1.348031539,0,0.689255,0,0
0.6,1439838.718,6143989.548,939103.1144,287.7192361,-64.5480912,-33.7490702,-77.89922821,-134.6382523,0,68.919054,0,0,380.998212,-128.551805,-70.999423,-0.778992807,-1.346381277,0,0.689191,0,0
0.61,1439841.595,6143988.903,939102.777,287.6672821,-64.56000524,-33.74703733,-77.80247624,-134.4735443,0,68.912474,0,0,380.997979,-54.061396,-136.541128,-0.778024959,-1.344734295,0,0.689125,0,0
0.62,1439844.471,6143988.257,939102.4395,287.6154018,-64.57199772,-33.74502377,-77.70593425,-134.3091808,0,68.905787,0,0,380.997747,45.096151,-139.757222,-0.777060392,-1.343090594,0,0.689058,0,0
0.63,1439847.347,6143987.611,939102.1021,287.5635953,-64.58406853,-33.74302952,-77.60960222,-134.1451618,0,68.898991,0,0,380.997515,123.66526,-79.19771,-0.776095825,-1.341450174,0,0.68899,0,0
0.64,1439850.222,6143986.965,939101.7647,287.5118629,-64.59621755,-33.74105457,-77.51348017,-133.9814872,0,68.892087,0,0,380.997283,145.805119,17.489176,-0.775134539,-1.339816316,0,0.688921,0,0
0.65,1439853.097,6143986.319,939101.4273,287.4602049,-64.60844468,-33.73909893,-77.41756153,-133.8181506,0,68.885075,0,0,380.997052,101.432906,106.188512,-0.774176534,-1.338182458,0,0.688851,0,0
