missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0,1438942.074,6151319.669,941042.06,111.268964,-1.050678582,745.943494,0,0,0,69.115038,0,0,381.012754,146.396251,-12.541436,0,0,0,0.69115,0,0
0.01,1438943.186,6151319.411,941042.0493,111.2445555,-1.071477204,745.943494,-84.00102303,-145.0022258,0,69.114984,0,0,381.012502,120.793399,83.652373,-0.840009869,-1.450023012,0,0.69115,0,0
0.02,1438944.299,6151319.153,941042.0384,111.2201542,-1.092277427,745.943494,-83.89078352,-144.8153524,0,69.11482,0,0,381.01225,39.750631,141.450583,-0.838907507,-1.448152933,0,0.691148,0,0
0.03,1438945.411,6151318.894,941042.0272,111.1957603,-1.113079255,745.943494,-83.78079008,-144.6288891,0,69.114548,0,0,381.011999,-59.534762,134.326497,-0.837808426,-1.446289416,0,0.691145,0,0
0.04,1438946.522,6151318.633,941042.0159,111.1713738,-1.133882694,745.943494,-83.67104598,-144.442836,0,69.114166,0,0,381.011748,-131.493752,65.551543,-0.836709344,-1.44442918,0,0.691142,0,0
0.05,1438947.634,6151318.372,941042.0043,111.1469948,-1.154687751,745.943494,-83.56154795,-144.2571864,0,69.113676,0,0,381.011498,-143.100826,-33.307372,-0.835616825,-1.442572225,0,0.691137,0,0
0.06,1438948.745,6151318.11,941041.9926,111.1226236,-1.175494431,745.943494,-83.45229598,-144.0719403,0,69.113076,0,0,381.011247,-89.030985,-116.877404,-0.834524305,-1.44071855,0,0.691131,0,0
0.07,1438949.856,6151317.848,941041.9806,111.0982603,-1.196302739,745.943494,-83.34329007,-143.8870978,0,69.112368,0,0,381.010997,5.897951,-146.804886,-0.833431785,-1.438871437,0,0.691124,0,0
0.08,1438950.967,6151317.584,941041.9685,111.073905,-1.217112682,745.943494,-83.23452694,-143.7026588,0,69.11155,0,0,381.010748,98.117595,-109.35728,-0.832345827,-1.437027605,0,0.691116,0,0
0.09,1438952.077,6151317.319,941041.9561,111.0495579,-1.237924264,745.943494,-83.12600988,-143.5186234,0,69.110624,0,0,381.010499,145.30581,-21.723623,-0.831259869,-1.435187054,0,0.691106,0,0
0.1,1438953.187,6151317.054,941041.9435,111.025219,-1.258737493,741.396983,-83.0177356,-143.3349849,0,69.109588,0,0,381.01025,125.809457,75.876822,-0.830177192,-1.433349783,0,0.691096,0,0
0.11,1438954.297,6151316.787,941041.9307,111.0008886,-1.279552373,741.396983,-82.9097041,-143.1517467,0,69.108444,0,0,381.010001,48.579296,138.654178,-0.829097796,-1.431519075,0,0.691084,0,0
0.12,1438955.407,6151316.52,941041.9177,110.9765667,-1.30036891,741.396983,-82.80191538,-142.9689055,0,69.10719,0,0,381.009753,-50.940947,137.802637,-0.828018399,-1.429688366,0,0.691072,0,0
0.13,1438956.517,6151316.252,941041.9045,110.9522536,-1.321187109,741.396983,-82.69436616,-142.7864613,0,69.105828,0,0,381.009505,-127.082459,73.717118,-0.826942284,-1.427864219,0,0.691058,0,0
0.14,1438957.626,6151315.983,941041.8911,110.9279494,-1.342006977,741.396983,-82.58705645,-142.6044107,0,69.104356,0,0,381.009257,-144.908728,-24.191808,-0.825869449,-1.426043353,0,0.691044,0,0
0.15,1438958.735,6151315.713,941041.8774,110.9036541,-1.36282852,741.396983,-82.47998952,-142.4227572,0,69.102776,0,0,381.00901,-96.244681,-110.997131,-0.824799895,-1.424229048,0,0.691028,0,0
